model_variant,alpha,speaker_cosine,emotion_acc,emotion_conf,emotion_ref_cosine,epoch
epoch_00000,1.0,0.3200286190956831,0.25,0.2498865776000457,0.0244112192653119,00000
epoch_00095,1.0,0.7425088621675968,0.525,0.5267827272663453,0.4284203536109999,00095
epoch_00060,1.0,0.7405242480337619,0.4,0.4114248911235336,0.3220854205079376,00060
epoch_00050,1.0,0.716274843364954,0.475,0.4822856134338508,0.4414876964990981,00050
epoch_00065,1.0,0.7401556432247162,0.4,0.4127756619975116,0.3113965131342411,00065
epoch_00025,1.0,0.7030993424355984,0.65,0.6287534220064117,0.5113663864322007,00025
epoch_00010,1.0,0.6717270366847515,0.4,0.3974732564802252,0.3191467454540543,00010
epoch_00040,1.0,0.7077460207045079,0.45,0.4506604586345929,0.4163051126990467,00040
epoch_00080,1.0,0.7525585718452931,0.45,0.4593677413187834,0.3412081828340888,00080
epoch_00020,1.0,0.6994335480034352,0.475,0.4756068238204534,0.4431409903801978,00020
epoch_00005,1.0,0.6263871654868126,0.3,0.3025787713322643,0.1909304786240682,00005
epoch_00100,1.0,0.7398532949388027,0.575,0.5622163475622074,0.4325824963860213,00100
epoch_00075,1.0,0.7538502976298332,0.475,0.4727585229727992,0.352857172023505,00075
epoch_00055,1.0,0.7327987141907215,0.375,0.3786800523035708,0.2915899769868701,00055
epoch_00070,1.0,0.7427993901073933,0.45,0.4486735714042879,0.355737332906574,00070
epoch_00035,1.0,0.72077192440629,0.525,0.5197344920965407,0.4407356921001337,00035
epoch_00030,1.0,0.6995347000658512,0.475,0.4682978333195933,0.419463598052971,00030
epoch_00105,1.0,0.7428567960858345,0.525,0.5253325343799589,0.4250305181369185,00105
